name,guest_name,changed,description_snippet
Revenge of the Tourists with Rajan Datar,Rajan Datar,0,"Trevor and Christiana are joined by travel journalist Rajan Datar to tackle the perennial summer question around the world: whatâ€™s with all these tourists, anyway? Governments, water gun-toting Spania"
Harris-Trump Debate Debrief with Tressie McMillan Cottom,Tressie McMillan Cottom,0,"Trevor, Christiana, Josh, and NY Times columnist (and friend of the show) Tressie McMillan Cottom break down last nightâ€™s presidential debate. Together they unpack whether Trump still has his finger o"
The Elon Effect,,0,"Elon Musk is officially beefing with the Brazilian government and of course Trevor, Christiana, and Josh have lots to say about it. In the wake of the X ban, they discuss how Elonâ€™s past circumstances"
The Trad Wife Paradox with Anne Helen Petersen,Anne Helen Petersen,0,"Trevor, Christiana, and noted writer and journalist Anne Helen Petersen discuss the growing #tradwife trend, the ideological conviction that a womanâ€™s sole and highest purpose is to be her spouseâ€™s mo"
If I Ruled the World: Petty is Power,,0,"The gangâ€™s back with another If I Ruled the World. Christianaâ€™s advocating for subsidized (and mandatory) world travel, Trevorâ€™s looking to nix required friendliness, and Josh thinks the world should "
Adam Grant Gives Trevor An Intellectual Wedgie,Adam Grant,0,"What do you do when your values are tested? Trevor and organizational psychologist Adam Grant discuss this very timely question, as well the importance of discourse in reducing prejudice, the science "
"Trevor's In Paris, But Not At The Olympics?!",,0,"Trevor, Christiana, and Josh talk all things Olympics: the wins, the viral moments, what in the world is 3 on 3 basketball, and how Trevor is in Paris but decided not to attend in person. One thing th"
Control Your Scroll with Jiore Craig,Jiore Craig,0,"When it comes to disinformation, our first instinct is often to ask is this real or fake? But disinformation expert Jiore Craig says that way of thinking misses a much bigger problem. Trevor, Christia"
The Kamala Question with Tressie McMillan Cottom,Tressie McMillan Cottom,0,"Sociologist and NYT columnist Tressie McMillan Cottom joins Trevor, Christiana, and Josh as they unpack Biden dropping out, Kamalaâ€™s nomination, and where weâ€™re at in this ever evolving (some might sa"
The Trump Assassination Attempt: What Now?,Jody Avirgan,0,"Trevor and Christiana are joined by Jody Avirgan, one of What Now?â€™s Executive Producers. In the wake of the July 13th assassination attempt on Donald Trump, they discuss peopleâ€™s fascination with how"
Questlove Isn't Manif*cking Around,Questlove,0,"DJ, drummer, author, and Roots frontman Ahmir â€œQuestloveâ€ Thompson and Trevor discuss â€œ50 Years of Hip Hopâ€ at the Grammys and his book Hip Hop is History. Questlove also divulges to Trevor the names "
Doctor Roger Federer Will See You Now,Roger Federer,0,Roger Federer and Trevor break down how moving on from major chapters in their lives has affected each of them and how Roger's desire to document the moment accidentally turned into the powerful docum
Trevor Takes On Tokyo,,0,"Trevorâ€™s in Japan with his good friends, Anele Mdoda and Khaya Dlanga. Together they dissect cultural taboos, savor otherworldly grapes, and marvel at toilets. All the while trying to find the balance"
Welcome To The Julia Louis-Dreyfus Brain Museum,Julia Louis-Dreyfus,0,"Thereâ€™s probably only one actress who can try to strangle, burn, and eat â€œDeath,â€ and still manage to make us laugh. And thatâ€™s Julia Louis-Dreyfus in her new movie Tuesday. Trevor and Julia dissect t"
Jessica Alba Is Standing in Her Power,Jessica Alba,0,"Actor and entrepreneur Jessica Alba discusses the challenges and the misogyny she faced starting The Honest Company, how she slowly reclaimed her identity, and why ten years later she has stepped away"
Jerrod Carmichael Knows Heâ€™s Cringe and Likes It,Jerrod Charmichael,0,"Yes itâ€™s true, Jerrod Carmichael sucks another manâ€™s toes on premium cable TV. In his new reality series Jerrod attempts to free himself â€“ and others â€“ of the shame that comes with the messiness of be"
Thereâ€™s No I In Trevor Noah,Brad Smith,0,"Itâ€™s everyoneâ€™s favorite game: If I Ruled the World! Trevor makes a case to ban all social media, Christiana argues that Bill Gates should staff the PTA bake sale, and Ben declares a weekly day of res"
Why AI Wonâ€™t Destroy Us with Microsoftâ€™s Brad Smith,Brad Smith,1,"Trevor puts on a suit (no, heâ€™s not returning to The Daily Show) and heads to Microsoft. This week Brad Smith, Vice Chairman and President of Microsoft talks AI, explains why he doesnâ€™t believe it wil"
The Ozempic Obsession with Jia Tolentino,Jia Tolentino,0,"Ozempic. It started with a lizard, and then transformed into a drug that, depending on who you ask, is either a miracle or the downfall of society. New Yorker writer and cultural critic Jia Tolentino "
Gabriel â€œFluffyâ€ Iglesias and the Art of Mentoring,Gabriel Iglesias,1,"If it wasnâ€™t for Gabriel â€œFluffyâ€ Iglesias, a trip to Footlocker could have ended Trevorâ€™s career. Iglesias shares about his journey to become the headlining, stadium-filling comedian known to million"
A Friendship Revolution with Rhaina Cohen,Rhaina Cohen,0,"Trevor is finally getting married! Just kidding. Rhaina Cohen, author of The Other Significant Others, helps Trevor, Christiana, and Josh envision a society where marriage isnâ€™t the only committed rel"
A Case for Compassion,,0,"This week on the podcastâ€¦ Amazonâ€™s Wizard of Oz moment. Plus, Trevor invents a new dating app, why Josh has the perfect name for big corporations, and Christiana announces sheâ€™s raising the first Nige"
Orlando Bloomâ€™s Life on the Edge,Orlando Bloom,0,"Trevor chats withÂ actor, adventurer, and producer Orlando Bloom, who takes Trevor behind the scenes of his thrill-seeking new documentary series,Â To the Edge. Orlando also talks about his early career"
Eclipse Week,,0,"With Trevor back from a week in Bhutan where he just may have found inner peace (unless it was just something he ate), this week Trevor, Christiana Mbakwe Medina, and Josh Johnson discuss ROCKSâ€”those "
Some Fun Thought Experiments,,0,"To celebrate the seasonâ€™s halfway mark, Trevor and his friends Josh Johnson and Christiana Mbakwe Medina share some never-before-heard moments from Trevorâ€™s favorite episodes and revisit some of the s"
The Meaning of Life With Rainn Wilson,Rainn Wilson,0,"Trevor is joined by Josh Johnson and actor, writer, and host of the Soulboom podcast Rainn Wilson to talk all things modern spirituality, the suspicious similarities between cults and video games, and"
A Conspiracy at Boeing?,,0,"What do IKEA executives and eight-year-olds have in common, and why do we care so much about Kate Middleton? Trevor dives in with Christiana Mbakwe Medina and Oscar-winning writer & comedian Travon Fr"
TikTok Thinks Trevorâ€™s From West Virginia,,0,"Trevor and his friends Christiana Mbakwe Medina and Josh Johnson discuss why Congress is REALLY trying to ban TikTok, how Boeingâ€™s troubles have been a boon for religion, and how the perception of pub"
Whatâ€™s Diddy Got To Do With It?,Christiana Mbakwe Medina,1,Trevor catches up with Josh Johnson and Christiana Mbakwe Medina to hash out some of the biggest news stories of the week. They debate whether Margot Robbie deserves an acting Oscar for playing Barbie
Idris Elba Walks Into an Abu Dhabi Hotel Room,Idris Elba,1,"Trevor sits down in Abu Dhabi with actor, director and DJ, Idris Elba. The two of them swap stories about taking the plunge and moving to America for work and Elba shares the secret he was told notÂ to"
Trevor Turns 40!,,0,"To reflect on the moment of turning 40, Trevor sits down in South Africa with two of his closest friends, Anele Mdoda and Sizwe Dhlomo. They debate whether birthdays even matter, whether itâ€™s possible"
Bryan Johnson Wants You To Live Forever,Bryan Johnson,1,"Trevor is joined by Bryan Johnson, the tech entrepreneur devoted to reversing his biological clock. Trevor and Bryan discuss the extreme lengths Bryan has gone to in his anti-aging regimen, Project Bl"
Trevor Takes Us Behind the Scenes of the Grammys,,0,"Trevor, Ben Winston, and friends discuss the Grammys. From how they handled Meryl Streep and Taylor Swiftâ€™s late arrivals on live television, to Jay-Zâ€™s speech, to a golf cart traveling the wrong way "
Quinta Brunson Misses Stupid Comedy,Quinta Brunson,0,"Trevor is joined by Emmy-winner Quinta Brunson, the star and creator of the hit series Abbott Elementary. Quinta describes her hometown Philly's influence on her comedy, why stand-up just wasnâ€™t for h"
Kevin Hart Gets the Bubble Guts,Kevin Hart,0,"Trevor sits down with comedy superstar Kevin Hart. The two chop up life behind-the-scenes as professional comedians, their different preferences for theaters versus big arenas, and the benefits and do"
